CITY,STATE,NAME,COUNTY
CENTERVILLE,IA,1,APPANOOSE
CENTERVILLE,OH,1,MONTGOMERY
CENTERVILLE,TN,1,HICKMAN
CENTRAL CITY,NE,1,MERRICK
CENTRALIA,IL,1,MARION
CENTRALIA,WA,1,LEWIS
CENTRE,AL,1,CHEROKEE
CENTRE HALL,PA,1,CENTRE
CENTREVILLE,AL,1,BIBB
CENTREVILLE,IL,1,ST. CLAIR
CENTREVILLE,MS,2,WILKINSON
CENTURY,FL,1,ESCAMBIA
CERES,CA,1,STANISLAUS
CERRITOS,CA,1,LOS ANGELES
CHADRON,NE,1,DAWES
CHALMETTE,LA,1,ST. BERNARD
CHAMBERLAIN,SD,1,BRULE
CHAMBERSBURG,PA,1,FRANKLIN
CHAMPAIGN,IL,1,CHAMPAIGN
CHANDLER,AZ,3,MARICOPA
CHANNELVIEW,TX,1,HARRIS
CHANUTE,KS,1,NEOSHO
CHAPEL HILL,NC,1,ORANGE
CHARDON,OH,2,GEAUGA
CHARITON,IA,1,LUCAS
CHARLES CITY,IA,1,FLOYD
CHARLESTON,MS,1,TALLAHATCHIE
CHARLESTON,SC,5,CHARLESTON
CHARLESTON,WV,7,KANAWHA
CHARLESTOWN,IN,1,CLARK
CHARLEVOIX,MI,1,CHARLEVOIX
CHARLOTTE,MI,1,EATON
CHARLOTTE,NC,11,MECKLENBURG
CHARLOTTESVILLE,VA,5,['ALBEMARLE' 'CHARLOTTESVILLE']
CHATOM,AL,1,WASHINGTON
CHATSWORTH,GA,1,MURRAY
CHATTAHOOCHEE,FL,1,GADSDEN
CHATTANOOGA,TN,12,HAMILTON
CHEEKTOWAGA,NY,1,ERIE
CHELAN,WA,1,CHELAN
CHELSEA,MI,1,WASHTENAW
CHERAW,SC,1,CHESTERFIELD
CHEROKEE,IA,2,CHEROKEE
CHEROKEE,NC,1,SWAIN
CHERRY HILL,NJ,1,CAMDEN
CHERRY POINT,NC,1,CRAVEN
CHESAPEAKE,VA,1,CHESAPEAKE
CHESTER,CA,1,PLUMAS
CHESTER,IL,1,RANDOLPH
CHESTER,MT,1,LIBERTY
CHESTER,NJ,1,MORRIS
CHESTER,SC,1,CHESTER
CHESTERFIELD,MO,4,ST. LOUIS
CHESTERTOWN,MD,1,KENT
CHEVERLY,MD,1,PRINCE GEORGE'S
CHEWELAH,WA,1,STEVENS
CHEYENNE,OK,1,ROGER MILLS
CHEYENNE,WY,2,LARAMIE
CHEYENNE WELLS,CO,1,CHEYENNE
CHICAGO,IL,41,COOK
CHICAGO HEIGHTS,IL,1,COOK
CHICKASHA,OK,1,GRADY
CHICO,CA,4,BUTTE
CHILDRESS,TX,1,CHILDRESS
CHILLICOTHE,MO,2,LIVINGSTON
CHILLICOTHE,OH,2,ROSS
CHILLICOTHE,TX,1,HARDEMAN
CHILTON,WI,1,CALUMET
CHINLE,AZ,1,APACHE
CHINO,CA,2,SAN BERNARDINO
CHIPLEY,FL,1,WASHINGTON
CHIPPEWA FALLS,WI,1,CHIPPEWA
CHOCTAW,MS,1,NESHOBA
CHOTEAU,MT,1,TETON
CHRISTIANSBURG,VA,1,MONTGOMERY
CHULA VISTA,CA,3,SAN DIEGO
CHURCH POINT,LA,1,ACADIA
CIDRA,PR,1,CIDRA
CINCINNATI,OH,24,HAMILTON
CINICINNATI,OH,1,HAMILTON
CIRCLE,MT,1,MCCONE
CIRCLEVILLE,OH,1,PICKAWAY
CLACKAMAS,OR,1,CLACKAMAS
CLANTON,AL,1,CHILTON
CLARE,MI,1,CLARE
CLAREMONT,NH,1,SULLIVAN
CLAREMORE,OK,2,ROGERS
CLARINDA,IA,3,PAGE
CLARION,IA,1,WRIGHT
CLARION,PA,2,CLARION
CLARKS SUMMIT,PA,1,LACKAWANNA
CLARKSBURG,WV,2,HARRISON
CLARKSDALE,MS,1,COAHOMA
CLARKSTON,WA,1,ASOTIN
CLARKSVILLE,AR,1,JOHNSON
CLARKSVILLE,IN,1,CLARK
CLARKSVILLE,TN,1,MONTGOMERY
CLARKSVILLE,TX,1,RED RIVER
CLAXTON,GA,1,EVANS
CLAY CENTER,KS,1,CLAY
CLAYTON,GA,1,RABUN
CLAYTON,NM,1,UNION
CLEAR LAKE,SD,1,DEUEL
CLEARFIELD,PA,1,CLEARFIELD
CLEARLAKE,CA,1,LAKE
CLEARWATER,FL,2,PINELLAS
CLEBURNE,TX,1,JOHNSON
CLERMONT,FL,1,LAKE
CLEVELAND,MS,1,BOLIVAR
CLEVELAND,OH,13,CUYAHOGA
CLEVELAND,OK,1,PAWNEE
CLEVELAND,TN,2,BRADLEY
CLEVELAND,TX,2,LIBERTY
CLEWISTON,FL,1,HENDRY
CLIFTON,TX,1,BOSQUE
CLIFTON SPRINGS,NY,1,ONTARIO
CLINTON,AR,1,VAN BUREN
CLINTON,IA,2,CLINTON
CLINTON,IL,1,DE WITT
CLINTON,IN,1,VERMILLION
CLINTON,LA,1,EAST FELICIANA
CLINTON,MA,1,WORCESTER
CLINTON,MD,1,PRINCE GEORGE'S
CLINTON,MO,1,HENRY
CLINTON,NC,1,SAMPSON
CLINTON,OK,1,CUSTER
CLINTON,SC,1,LAURENS
CLINTON TOWNSHIP,MI,1,MACOMB
CLINTWOOD,VA,1,DICKENSON
CLOQUET,MN,1,CARLTON
CLOVIS,CA,1,FRESNO
CLOVIS,NM,1,CURRY
CLYDE,NC,1,HAYWOOD
COAL TOWNSHIP,PA,1,NORTHUMBERLAND
COALDALE,PA,1,SCHUYLKILL
COALGATE,OK,1,COAL
COALINGA,CA,2,FRESNO
COATESVILLE,PA,2,CHESTER
COBLESKILL,NY,1,SCHOHARIE
COCHRAN,GA,1,BLECKLEY
COCOA BEACH,FL,1,BREVARD
COCONUT CREEK,FL,1,BROWARD
CODY,WY,1,PARK
COEUR D'ALENE,ID,1,KOOTENAI
COFFEYVILLE,KS,1,MONTGOMERY
COLBY,KS,1,THOMAS
COLDWATER,KS,1,COMANCHE
COLDWATER,MI,1,BRANCH
COLDWATER,OH,1,MERCER
COLEBROOK,NH,1,COOS
COLEMAN,TX,1,COLEMAN
COLFAX,WA,1,WHITMAN
COLLEGE PARK,GA,1,CLAYTON
COLLEGE STATION,TX,3,BRAZOS
COLLEYVILLE,TX,1,TARRANT
COLLIERVILLE,TN,1,SHELBY
COLLINS,MS,1,COVINGTON
COLORADO CITY,TX,1,MITCHELL
COLORADO SPRINGS,CO,11,EL PASO
COLQUITT,GA,1,MILLER
COLTON,CA,1,SAN BERNARDINO
COLUMBIA,KY,1,ADAIR
COLUMBIA,LA,2,CALDWELL
COLUMBIA,MD,1,HOWARD
COLUMBIA,MO,6,BOONE
COLUMBIA,MS,1,MARION
COLUMBIA,SC,15,RICHLAND
COLUMBIA,TN,1,MAURY
COLUMBIA CITY,IN,1,WHITLEY
COLUMBUS,GA,7,MUSCOGEE
COLUMBUS,IN,1,BARTHOLOMEW
COLUMBUS,KS,1,CHEROKEE
COLUMBUS,MS,1,LOWNDES
COLUMBUS,MT,1,STILLWATER
COLUMBUS,NC,1,POLK
COLUMBUS,NE,1,PLATTE
COLUMBUS,OH,20,FRANKLIN
COLUMBUS,TX,1,COLORADO
COLUMBUS,WI,1,COLUMBIA
COLUSA,CA,1,COLUSA
COLVILLE,WA,1,STEVENS
COMANCHE,TX,1,COMANCHE
COMMERCE,GA,1,JACKSON
COMMERCE,TX,1,HUNT
COMMERCE TOWNSHIP,MI,1,OAKLAND
CONCORD,CA,2,CONTRA COSTA
CONCORD,MA,1,MIDDLESEX
CONCORD,NC,2,CABARRUS
CONCORD,NH,2,MERRIMACK
CONCORDIA,KS,1,CLOUD
CONNEAUT,OH,1,ASHTABULA
CONNELLSVILLE,PA,1,FAYETTE
CONNERSVILLE,IN,1,FAYETTE
CONRAD,MT,1,PONDERA
CONROE,TX,5,MONTGOMERY
CONWAY,AR,3,FAULKNER
CONWAY,SC,2,HORRY
CONYERS,GA,1,ROCKDALE
COOK,MN,1,ST. LOUIS
COOKEVILLE,TN,1,PUTNAM
COON RAPIDS,MN,1,ANOKA
COOPER CITY,FL,1,BROWARD
COOPERSTOWN,ND,1,GRIGGS
COOPERSTOWN,NY,1,OTSEGO
COOS BAY,OR,1,COOS
COPPERHILL,TN,1,POLK
COQUILLE,OR,1,COOS
CORAL GABLES,FL,3,MIAMI-DADE
CORAL SPRINGS,FL,1,BROWARD
CORALVILLE,IA,1,JOHNSON
CORBIN,KY,1,WHITLEY
CORCORAN,CA,1,KINGS
CORDELE,GA,1,CRISP
CORDELL,OK,1,WASHITA
CORDOVA,AK,1,VALDEZ-CORDOVA
CORINTH,MS,1,ALCORN
CORINTH,TX,1,DENTON
CORNING,IA,1,ADAMS
CORNING,NY,2,STEUBEN
CORNWALL,NY,1,ORANGE
CORONA,CA,2,RIVERSIDE
CORONADO,CA,2,SAN DIEGO
CORPUS CHRISTI,TX,14,NUECES
CORRY,PA,2,ERIE
CORSICANA,TX,1,NAVARRO
CORTEZ,CO,1,MONTEZUMA
CORTLAND,NY,1,CORTLAND
CORTLANDT MANOR,NY,1,WESTCHESTER
CORVALLIS,OR,1,BENTON
CORYDON,IA,1,WAYNE
CORYDON,IN,1,HARRISON
COSHOCTON,OH,1,COSHOCTON
COSTA MESA,CA,2,ORANGE
COTO LAUREL,PR,1,PONCE
COTTAGE GROVE,OR,1,LANE
COTTONWOOD,AZ,1,YAVAPAI
COTTONWOOD,ID,1,IDAHO
COUDERSPORT,PA,1,POTTER
COUNCIL BLUFFS,IA,2,POTTAWATTAMIE
COUNCIL GROVE,KS,1,MORRIS
COUPEVILLE,WA,1,ISLAND
COUSHATTA,LA,2,RED RIVER
COVINA,CA,2,LOS ANGELES
COVINGTON,GA,1,NEWTON
COVINGTON,KY,2,KENTON
COVINGTON,LA,7,ST. TAMMANY
COVINGTON,TN,1,TIPTON
COZAD,NE,1,DAWSON
CRAIG,CO,1,MOFFAT
CRANBERRY,PA,1,BUTLER
CRANE,TX,1,CRANE
CRANSTON,RI,1,PROVIDENCE
CRAWFORDSVILLE,IN,1,MONTGOMERY
CREIGHTON,NE,1,KNOX
CRESCENT CITY,CA,1,DEL NORTE
CRESCO,IA,1,HOWARD
CRESTON,IA,1,UNION
CRESTVIEW,FL,1,OKALOOSA
CRETE,NE,1,SALINE
CREVE COEUR,MO,1,ST. LOUIS
CRISFIELD,MD,1,SOMERSET
CROCKETT,TX,1,HOUSTON
CROOKSTON,MN,1,POLK
CROSBY,MN,1,CROW WING
CROSBY,ND,1,DIVIDE
CROSBYTON,TX,1,CROSBY
CROSSETT,AR,1,ASHLEY
CROSSVILLE,TN,1,CUMBERLAND
CROW AGENCY,MT,1,BIG HORN
CROWLEY,LA,3,ACADIA
CROWN POINT,IN,3,LAKE
CROWNPOINT,NM,1,MCKINLEY
CRYSTAL CITY,MO,1,JEFFERSON
CRYSTAL RIVER,FL,1,CITRUS
CUBA,NY,1,ALLEGANY
CUDAHY,WI,1,MILWAUKEE
CUERO,TX,1,DEWITT
CULBERTSON,MT,1,ROOSEVELT
CULEBRA PUEBLO,PR,1,CULEBRA
CULLMAN,AL,2,CULLMAN
CULPEPER,VA,1,CULPEPER
CULVER CITY,CA,2,LOS ANGELES
CUMBERLAND,MD,2,ALLEGANY
CUMBERLAND,WI,1,BARRON
CUMMING,GA,1,FORSYTH
CUSHING,OK,1,PAYNE
CUSTER,SD,1,CUSTER
CUT BANK,MT,1,GLACIER
CUT OFF,LA,1,LAFOURCHE
CUTHBERT,GA,1,RANDOLPH
CUYAHOGA FALLS,OH,2,SUMMIT
CYNTHIANA,KY,1,HARRISON
CYPRESS,TX,2,HARRIS
DADE CITY,FL,1,PASCO
DADEVILLE,AL,1,TALLAPOOSA
DAHLONEGA,GA,1,LUMPKIN
DAKOTA DUNES,SD,1,UNION
DALHART,TX,1,HARTLEY
DALLAS,GA,1,PAULDING
DALLAS,OR,1,POLK
DALLAS,TX,38,DALLAS
DALTON,GA,1,WHITFIELD
DALY CITY,CA,1,SAN MATEO
DAMARISCOTTA,ME,1,LINCOLN
DANBURY,CT,1,FAIRFIELD
DANBURY,NC,1,STOKES
DANSVILLE,NY,1,LIVINGSTON
DANVILLE,AR,1,YELL
DANVILLE,IL,2,VERMILION
DANVILLE,IN,1,HENDRICKS
DANVILLE,KY,1,BOYLE
DANVILLE,PA,4,MONTOUR
DANVILLE,VA,2,DANVILLE
DAPHNE,AL,1,BALDWIN
DARBY,PA,2,DELAWARE
DARDANELLE,AR,1,YELL
DARLINGTON,SC,1,DARLINGTON
DARLINGTON,WI,1,LAFAYETTE
DARTMOUTH,MA,1,BRISTOL
DAVENPORT,FL,1,POLK
DAVENPORT,IA,3,SCOTT
DAVENPORT,WA,1,LINCOLN
DAVID CITY,NE,1,BUTLER
DAVIS,CA,1,YOLO
DAWSON,MN,1,LAC QUI PARLE
DAYTON,NV,1,LYON
DAYTON,OH,13,MONTGOMERY
DAYTON,TN,1,RHEA
DAYTON,WA,1,COLUMBIA
DAYTONA BEACH,FL,4,VOLUSIA
DE QUEEN,AR,1,SEVIER
DE SMET,SD,1,KINGSBURY
DE SOTO,TX,4,DALLAS
DE WITT,AR,1,ARKANSAS
DEADWOOD,SD,1,LAWRENCE
DEARBORN,MI,1,WAYNE
DECATUR,AL,4,MORGAN
DECATUR,GA,4,DEKALB
DECATUR,IL,2,MACON
DECATUR,IN,1,ADAMS
DECATUR,TX,2,WISE
DECKERVILLE,MI,1,SANILAC
DECORAH,IA,1,WINNESHIEK
DEDEDO,GU,1,NOT AVAILABLE
DEDHAM,MA,1,NORFOLK
DEER LODGE,MT,1,POWELL
DEER RIVER,MN,1,ITASCA
DEFIANCE,OH,2,DEFIANCE
DEFUNIAK SPRINGS,FL,1,WALTON
DEKALB,IL,1,DEKALB
DEKALB,MS,1,KEMPER
DEL NORTE,CO,1,RIO GRANDE
DEL RIO,TX,1,VAL VERDE
DELAND,FL,1,VOLUSIA
DELANO,CA,1,KERN
DELAWARE,OH,1,DELAWARE
DELHI,LA,1,RICHLAND
DELHI,NY,1,DELAWARE
DELL RAPIDS,SD,1,MINNEHAHA
DELRAY BEACH,FL,3,PALM BEACH
DELTA,CO,1,DELTA
DELTA,UT,1,MILLARD
DEMING,NM,1,LUNA
DEMOPOLIS,AL,1,MARENGO
DEMOREST,GA,1,HABERSHAM
DENHAM SPRINGS,LA,1,LIVINGSTON
DENISON,IA,2,CRAWFORD
DENISON,TX,2,GRAYSON
DENNISON,OH,2,TUSCARAWAS
DENTON,TX,8,DENTON
DENVER,CO,17,['DENVER' 'ADAMS']
DENVER CITY,TX,1,YOAKUM
DENVILLE,NJ,1,MORRIS
DEQUINCY,LA,1,CALCASIEU
DERBY,CT,1,NEW HAVEN
DERIDDER,LA,2,BEAUREGARD
DERRY,NH,1,ROCKINGHAM
DES MOINES,IA,7,POLK
DES PLAINES,IL,2,COOK
DESTIN,FL,1,OKALOOSA
DETROIT,MI,14,WAYNE
DETROIT LAKES,MN,1,BECKER
DEVIL'S LAKE,ND,1,RAMSEY
DEWITT,IA,1,CLINTON
DEXTER,MO,1,STODDARD
DICKINSON,ND,2,STARK
DICKSON,TN,1,DICKSON
DIGHTON,KS,1,LANE
DILLEY,TX,1,FRIO
DILLINGHAM,AK,1,DILLINGHAM
DILLON,MT,1,BEAVERHEAD
DILLON,SC,1,DILLON
DIMMITT,TX,1,CASTRO
DIXON,IL,1,LEE
DOBBS FERRY,NY,1,WESTCHESTER
DODGE CITY,KS,1,FORD
DODGEVILLE,WI,1,IOWA
DONALDSONVILLE,LA,1,ASCENSION
DONALSONVILLE,GA,1,SEMINOLE
DONIPHAN,MO,1,RIPLEY
DOTHAN,AL,5,HOUSTON
DOUGLAS,AZ,1,COCHISE
DOUGLAS,GA,1,COFFEE
DOUGLAS,WY,1,CONVERSE
DOUGLASVILLE,GA,2,DOUGLAS
DOVER,DE,2,KENT
DOVER,NH,1,STRAFFORD
DOVER,NJ,2,MORRIS
DOVER,OH,1,TUSCARAWAS
DOVER FOXCROFT,ME,1,PISCATAQUIS
DOWAGIAC,MI,1,CASS
DOWNERS GROVE,IL,1,DUPAGE
DOWNEY,CA,3,LOS ANGELES
DOWNINGTOWN,PA,1,CHESTER
DOYLESTOWN,PA,2,BUCKS
DRAPER,UT,1,SALT LAKE
DREXEL HILL,PA,1,DELAWARE
DRIGGS,ID,1,TETON
DRUID HILLS,GA,2,DEKALB
DRUMRIGHT,OK,1,CREEK
DU QUOIN,IL,1,PERRY
DUARTE,CA,1,LOS ANGELES
DUBLIN,GA,2,LAURENS
DUBLIN,OH,2,FRANKLIN
DUBOIS,PA,1,CLEARFIELD
DUBUQUE,IA,2,DUBUQUE
DULLES,VA,1,LOUDOUN
DULUTH,GA,2,GWINNETT
DULUTH,MN,3,ST. LOUIS
DUMAS,AR,1,DESHA
DUMAS,TX,1,MOORE
DUNCAN,OK,1,STEPHENS
DUNEDIN,FL,2,PINELLAS
DUNKIRK,NY,1,CHAUTAUQUA
DUNN,NC,1,HARNETT
DUNWOODY,GA,1,DEKALB
DURAND,WI,1,PEPIN
DURANGO,CO,2,LA PLATA
DURANT,OK,1,BRYAN
DURHAM,NC,6,DURHAM
DYER,IN,1,LAKE
DYERSBURG,TN,1,DYER
DYERSVILLE,IA,1,DUBUQUE
EADS,CO,1,KIOWA
EAGLE,ID,1,ADA
EAGLE BUTTE,SD,1,DEWEY
EAGLE LAKE,TX,1,COLORADO
EAGLE PASS,TX,1,MAVERICK
EAGLE RIVER,WI,1,VILAS
EAGLEVILLE,PA,1,MONTGOMERY
EASLEY,SC,1,PICKENS
EAST CHICAGO,IN,2,LAKE
EAST CHINA,MI,1,ST. CLAIR
EAST LIVERPOOL,OH,1,COLUMBIANA
EAST MEADOW,NY,1,NASSAU
EAST NORRITON,PA,1,MONTGOMERY
EAST ORANGE,NJ,2,ESSEX
EAST POINT,GA,1,FULTON
EAST PROVIDENCE,RI,1,PROVIDENCE
EAST STROUDSBURG,PA,1,MONROE
EASTLAND,TX,1,EASTLAND
EASTMAN,GA,1,DODGE
EASTON,MD,1,TALBOT
EASTON,PA,2,NORTHAMPTON
EATON RAPIDS,MI,1,EATON
EATONTON,GA,1,PUTNAM
EAU CLAIRE,WI,2,EAU CLAIRE
EDEN,NC,1,ROCKINGHAM
EDEN,TX,1,CONCHO
EDENTON,NC,1,CHOWAN
EDGEFIELD,SC,1,EDGEFIELD
EDGERTON,WI,1,ROCK
EDGEWOOD,KY,2,KENTON
EDINA,MN,1,HENNEPIN
EDINBURG,TX,8,HIDALGO
EDISON,NJ,2,MIDDLESEX
EDMOND,OK,4,OKLAHOMA
EDMONDS,WA,1,SNOHOMISH
EDNA,TX,1,JACKSON
EFFINGHAM,IL,1,EFFINGHAM
EGLIN AFB,FL,1,OKALOOSA
EIELSON AFB,AK,1,FAIRBANKS NORTH STAR
EKALAKA,MT,1,CARTER
EL CAMPO,TX,1,WHARTON
EL CENTRO,CA,1,IMPERIAL
EL DORADO,AR,1,UNION
EL DORADO,KS,1,BUTLER
EL DORADO SPRINGS,MO,2,CEDAR
EL PASO,TX,18,EL PASO
EL RENO,OK,1,CANADIAN
ELBERTON,GA,1,ELBERT
ELBOW LAKE,MN,2,GRANT
ELDORADO,IL,1,SALINE
ELDORADO,TX,1,SCHLEICHER
ELDRIDGE,CA,1,SONOMA
ELECTRA,TX,1,WICHITA
ELGIN,IL,2,KANE
ELGIN,ND,1,GRANT
ELIZABETH,NJ,3,UNION
ELIZABETH CITY,NC,1,PASQUOTANK
ELIZABETHTON,TN,1,CARTER
ELIZABETHTOWN,KY,2,HARDIN
ELIZABETHTOWN,NC,1,BLADEN
ELIZABETHTOWN,NY,1,ESSEX
ELK CITY,OK,1,BECKHAM
ELK GROVE VILLAGE,IL,1,COOK
ELKADER,IA,1,CLAYTON
ELKHART,IN,1,ELKHART
ELKHART,KS,1,MORTON
ELKHORN,NE,1,DOUGLAS
ELKHORN,WI,1,WALWORTH
ELKIN,NC,1,SURRY
ELKINS,WV,1,RANDOLPH
ELKO,NV,1,ELKO
ELKTON,MD,1,CECIL
ELLENSBURG,WA,1,KITTITAS
ELLENVILLE,NY,1,ULSTER
ELLICOTT CITY,MD,1,HOWARD
ELLIJAY,GA,1,GILMER
ELLINGTON,MO,1,REYNOLDS
ELLINWOOD,KS,1,BARTON
ELLSWORTH,KS,1,ELLSWORTH
ELLSWORTH,ME,2,HANCOCK
ELLWOOD CITY,PA,1,LAWRENCE
ELMA,WA,1,GRAYS HARBOR
ELMER,NJ,1,SALEM
ELMHURST,IL,1,DUPAGE
ELMHURST,NY,1,QUEENS
ELMIRA,NY,3,CHEMUNG
ELWOOD,IN,1,MADISON
ELY,MN,1,ST. LOUIS
ELY,NV,1,WHITE PINE
ELYRIA,OH,1,LORAIN
EMMETSBURG,IA,1,PALO ALTO
EMMETT,ID,1,GEM
EMPORIA,KS,1,LYON
EMPORIA,VA,1,EMPORIA
ENCINITAS,CA,1,SAN DIEGO
ENCINO,CA,1,LOS ANGELES
ENGLEWOOD,CO,2,ARAPAHOE
ENGLEWOOD,FL,1,SARASOTA
ENGLEWOOD,NJ,1,BERGEN
ENID,OK,3,GARFIELD
ENNIS,MT,1,MADISON
ENNIS,TX,1,ELLIS
ENTERPRISE,AL,1,COFFEE
ENTERPRISE,OR,1,WALLOWA
ENUMCLAW,WA,1,KING
EPHRATA,PA,1,LANCASTER
EPHRATA,WA,1,GRANT
ERIE,PA,7,ERIE
ERIN,TN,1,HOUSTON
ERWIN,NC,1,HARNETT
ERWIN,TN,1,UNICOI
ESCANABA,MI,1,DELTA
ESCONDIDO,CA,2,SAN DIEGO
ESPANOLA,NM,1,RIO ARRIBA
ESTES PARK,CO,1,LARIMER
ESTHERVILLE,IA,1,EMMET
ETOWAH,TN,1,MCMINN
EUCLID,OH,1,CUYAHOGA
EUFAULA,AL,1,BARBOUR
EUFAULA,OK,1,MCINTOSH
EUGENE,OR,1,LANE
EUNICE,LA,3,['ST. LANDRY' 'ACADIA']
EUPORA,MS,1,WEBSTER
EUREKA,CA,3,HUMBOLDT
EUREKA,IL,1,WOODFORD
EUREKA,KS,1,GREENWOOD
EUREKA,SD,1,MCPHERSON
EUREKA SPRINGS,AR,1,CARROLL
EUTAW,AL,1,GREENE
EVANSTON,IL,2,COOK
EVANSTON,WY,2,UINTA
EVANSVILLE,IN,6,VANDERBURGH
EVERETT,MA,1,MIDDLESEX
EVERETT,PA,1,BEDFORD
EVERETT,WA,3,SNOHOMISH
EVERGREEN,AL,1,CONECUH
EVERGREEN PARK,IL,1,COOK
EWA BEACH,HI,2,HONOLULU
EXCELSIOR SPRINGS,MO,1,CLAY
EXETER,NH,1,ROCKINGHAM
FAIRBANKS,AK,1,FAIRBANKS NORTH STAR
FAIRBURY,NE,1,JEFFERSON
FAIRCHILD AIR FORCE,WA,1,SPOKANE
FAIRFAX,MO,1,ATCHISON
FAIRFAX,OK,1,OSAGE
FAIRFAX,SC,1,ALLENDALE
FAIRFAX,VA,1,FAIRFAX
FAIRFIELD,CA,1,SOLANO
FAIRFIELD,IA,1,JEFFERSON
FAIRFIELD,IL,1,WAYNE
FAIRFIELD,OH,1,BUTLER
FAIRFIELD,TX,1,FREESTONE
FAIRHOPE,AL,1,BALDWIN
FAIRMONT,MN,1,MARTIN
FAIRMONT,WV,1,MARION
FAIRVIEW,OK,1,MAJOR
FAJARDO,PR,2,FAJARDO
FALL RIVER,MA,3,BRISTOL
FALL RIVER MILLS,CA,1,SHASTA
FALLBROOK,CA,2,SAN DIEGO
FALLON,NV,1,CHURCHILL
FALLS CHURCH,VA,3,FAIRFAX
FALLS CITY,NE,1,RICHARDSON
FALMOUTH,MA,1,BARNSTABLE
FAR ROCKAWAY,NY,1,QUEENS
FARGO,ND,8,CASS
FARIBAULT,MN,1,RICE
FARMERVILLE,LA,2,UNION
FARMINGTON,CT,1,HARTFORD
FARMINGTON,ME,1,FRANKLIN
FARMINGTON,MO,3,ST. FRANCOIS
FARMINGTON,NM,2,SAN JUAN
FARMINGTON HILLS,MI,1,OAKLAND
FARMVILLE,VA,1,PRINCE EDWARD
FARRELL,PA,1,MERCER
FAULKTON,SD,1,FAULK
FAYETTE,AL,1,FAYETTE
FAYETTE,MS,1,JEFFERSON
FAYETTEVILLE,AR,7,WASHINGTON
